"type","year","emissions"
"1","NON-ROAD","1999",522.94
"2","NON-ROAD","2002",240.846922272992
"3","NON-ROAD","2005",248.9336897056
"4","NON-ROAD","2008",55.8235614579
"5","NONPOINT","1999",2107.625
"6","NONPOINT","2002",1509.5
"7","NONPOINT","2005",1509.5
"8","NONPOINT","2008",1373.2073079721
"9","ON-ROAD","1999",346.82
"10","ON-ROAD","2002",134.308821199349
"11","ON-ROAD","2005",130.430379885892
"12","ON-ROAD","2008",88.275457392443
"13","POINT","1999",296.795
"14","POINT","2002",569.26
"15","POINT","2005",1202.49
"16","POINT","2008",344.975183943
